NAME_3,centroid_lat,centroid_lon,slope_mean,flow_accum_max,twi_mean,curvature_std,mua_1h,mua_24h,mua_72h,mua_dubao_24h_toi,risk_satlo,risk_luquet,muc_canhbao_satlo,muc_canhbao_luquet
Pa Thơm,21.301706416125988,102.89762293009848,24.35323526556373,1411254.0,9.037918126396631,0.047387234000447136,0.5,10.8,56.3,14.4,0.5155010236169134,0.37440918485202584,3,2
Phu Luông,20.983283771716128,103.12984873380354,23.10602232197946,108076.0,9.130297425109903,0.03463735530780928,0.0,23.2,61.8,4.0,0.49184118679007877,0.2699358637964811,3,2
Pom Lót,21.263411091521146,102.9887987237787,20.199347892215776,1356105.0,9.690215916233852,0.013244759721892827,0.3,9.5,49.8,3.7,0.3487017428264897,0.41129778645206494,2,3
Sam Mứn,21.288181720311055,103.04717245184426,15.044538220182886,681103.0,9.697728151070345,0.00910300177271765,0.3,9.5,49.8,3.7,0.2702802879653222,0.27761591692060517,2,2
Thanh An,21.332872798437243,103.04092549239553,12.125221302580915,492976.0,10.325200808067072,0.008743482692347222,0.2,9.7,53.3,8.7,0.24599497300502438,0.30329081305418193,2,2
Thanh Chăn,21.36454125630846,102.95441511787521,16.277078798488155,467769.0,9.858648299638862,0.019763145757576678,0.5,10.8,56.3,14.4,0.34101829592355215,0.26603738681005407,2,2
Thanh Hưng,21.381813274630783,102.9552772553719,14.424990080556057,437121.0,10.105378304363544,0.02763163789254757,0.6,11.1,60.0,13.0,0.3518428936967837,0.28736793516420434,2,2
Thanh Luông,21.409340272765228,102.95570869126362,18.6754142932311,32305.0,9.686063773354276,0.034264674359909986,0.6,11.1,60.0,13.0,0.4243648170761042,0.16614255116631146,3,1
Thanh Nưa,21.43417072079987,102.99330786570916,15.546310829158584,49150.0,9.790818382236708,0.010157962543724213,0.6,11.1,60.0,13.0,0.32402565167800934,0.17964377072284615,2,1
Thanh Xương,21.35600407186752,103.03533719013724,8.910073503321467,482908.0,10.650687390557488,0.006644593890382707,0.2,9.7,53.3,8.7,0.19826514322011593,0.332814003245617,1,2
Thanh Yên,21.336859473415494,102.97592155510301,9.217319705962346,493721.0,10.75564907682605,0.007507356051992855,0.5,10.8,56.3,14.4,0.21753764395902603,0.35809227648048386,2,2
Chiềng Sơ,21.289823320909893,103.3977924637467,21.167174978417,983187.0,9.374437555776293,0.026888848151425334,0.2,5.2,38.8,3.0,0.34683755484934314,0.255798572099053,2,2
Điện Biên Đông,21.295221052366486,103.22836383443799,17.043438366184116,205832.0,9.528466042028862,0.011136675399161895,0.0,7.1,48.8,4.2,0.2973697232821272,0.13831006677172222,2,1
Háng Lìa,21.1717818301448,103.31707385991231,22.584647283507,726790.0,9.317585902788585,0.01320697887961244,0.0,8.2,43.4,2.3,0.35228288727543167,0.23457703750505526,2,2
Keo Lôm,21.230794928214454,103.16941079049587,18.4536474049445,258367.0,9.579995433110321,0.011039520221538007,0.0,10.4,47.7,4.0,0.31101787456254143,0.1926367757392489,2,1
Luân Giới,21.200170647251852,103.3978564130342,17.683921733911315,48985.0,9.515004819163623,0.013056805463033526,0.0,6.6,42.9,1.7,0.2847945490668423,0.09988400099828221,2,1
Mường Luân,21.244231435633772,103.35030115454276,18.57934830958187,909283.0,9.528386133535385,0.01075327517034431,0.2,5.2,38.8,3.0,0.27313865534599413,0.2559945603455524,2,2
Na Son,21.348924204964977,103.22321779724915,18.374296809549246,158588.0,9.500107879149516,0.0109858354999717,0.0,8.0,48.5,5.8,0.31332704640036324,0.13675782714569248,2,1
Nong U,21.309440307262584,103.12793225944708,17.198685295894062,126860.0,9.754846959787825,0.010012064734474638,0.0,9.4,55.4,6.2,0.3254872483614166,0.1716072282950581,2,1
Phì Nhừ,21.28364690183374,103.29161340509371,22.414759607832202,769500.0,9.287729095262847,0.012839692682148327,0.1,5.9,43.4,4.5,0.34913469604699476,0.21309535647051353,2,2
Phình Giàng,21.166817585512035,103.22385332462243,19.502416697619296,406917.0,9.516225259532165,0.011002462099923963,0.0,10.4,47.7,4.0,0.324824547594606,0.21603969933161538,2,2
Pú Hồng,21.07974809967483,103.21973173428007,20.717024963277453,87748.0,9.31844918615361,0.013993954765050462,0.0,15.6,46.7,2.3,0.34386065032624086,0.19458442023326383,2,1
Pú Nhi,21.377282198803755,103.15593906075098,17.851611963653397,33922.0,9.50396279389156,0.010759324627366168,0.3,13.0,61.1,9.5,0.36084292539957624,0.17120768032332995,2,1
Tìa Dình,21.10966983476571,103.35361735609628,21.73017123423785,98597.0,9.290665387004578,0.03618156511499492,0.0,10.9,41.0,1.3,0.38659562999010666,0.13868697764799845,2,1
Xa Dung,21.376009950473573,103.30962872224212,22.54984760220883,50693.0,9.253951716250114,0.020056735349888666,0.1,4.9,39.0,5.9,0.3493462003973706,0.05491124417787306,2,1
Him Lam,21.403882940469746,103.03195773416341,6.4042846427759805,311201.0,10.817099816986763,0.0059195949006390705,0.9,12.0,67.0,11.0,0.22308673941829404,0.34183654433008653,2,2
Mường Thanh,21.38387792298452,103.0181525216193,4.615123364481983,436377.0,11.15603327837841,0.004861705218346707,0.2,9.7,53.3,8.7,0.1369986808425126,0.3724984279146396,1,2
Nam Thanh,21.37283332434944,103.03108332218098,6.70884232706879,467321.0,10.829553722139414,0.005873928818811284,0.2,9.7,53.3,8.7,0.16721457113368293,0.34703598032991606,1,2
Noong Bua,21.3864772824948,103.03422109037079,6.634169397749618,320629.0,10.805229657416541,0.005926968956952952,0.9,12.0,67.0,11.0,0.2261509382723698,0.3425640987406671,2,2
Tà Lèng,21.39090987163565,103.06710546239219,15.86161392062776,20189.0,9.645624269048927,0.010501592177674358,0.9,12.0,67.0,11.0,0.3595958190547517,0.17041491345731546,2,1
Tân Thanh,21.392942246367216,103.02119025366002,7.188229770913786,110695.0,10.473022806830565,0.005848238060914722,0.9,12.0,67.0,11.0,0.23330047569664278,0.2685821347553224,2,2
Thanh Bình,21.398061873328484,103.00963479132201,2.4210314119581278,75064.0,11.616497171383156,0.0033841168307350614,0.9,12.0,67.0,11.0,0.16411251212255956,0.3722487827326431,1,2
Thanh Minh,21.42744181104724,103.05230934780002,17.643238143318285,279604.0,9.571964172475553,0.010663672888579837,0.9,12.0,67.0,11.0,0.383599864273441,0.21493581229251746,2,2
Thanh Trường,21.404003455837785,103.00508451446034,2.7232087285813953,52039.0,11.555026138606644,0.003775633528239625,0.9,12.0,67.0,11.0,0.16907284347076523,0.36170959912753115,1,2
Ẳng Cang,21.479043064669238,103.22355685760769,20.354946436460256,78541.0,9.479184135510472,0.012084154570002503,0.2,7.4,42.7,3.5,0.31693970386623976,0.11172367323123131,2,1
Ẳng Nưa,21.514753795586984,103.19351190165798,19.07332297058481,16965.0,9.682069968022969,0.012683302122149867,0.3,5.0,37.9,5.0,0.28046974637593924,0.09084248381410852,2,1
Ẳng Tở,21.562556871989038,103.26323982321885,18.48799513114332,270397.0,9.46367819940528,0.010934747799698418,0.3,5.0,37.9,5.0,0.2684431237041184,0.12015271126864974,2,1
Búng Lao,21.525439322803255,103.31404651516456,19.017829822996973,502616.0,9.474667811429708,0.0120963569663215,0.1,3.4,38.0,7.2,0.27873738865036285,0.1486095696672206,2,1
Mường Ảng,21.522014070964225,103.21763211502274,12.337066653178184,78540.0,10.335514157403214,0.008200846907650206,0.3,5.0,37.9,5.0,0.18026055393940354,0.166398891961263,1,1
Mường Đăng,21.57970329451673,103.15603243603108,23.734816068483543,41866.0,9.261384909829992,0.013735262691484718,0.2,8.4,54.1,5.8,0.415516159225273,0.09510394728714831,3,1
Mường Lạn,21.443099362105094,103.291664733713,21.021619664617514,86027.0,9.36925376675689,0.012346056556159911,0.2,2.8,29.4,4.1,0.2683629556485334,0.04837752829546357,2,1
Nặm Lịch,21.464930721899744,103.26254059351675,22.71734575203845,45074.0,9.273537761766633,0.013427076024495825,0.2,7.4,42.7,3.5,0.35152352192293973,0.08513980996986782,2,1
Ngối Cáy,21.596014128480345,103.21525879374136,20.107174142155287,125934.0,9.41770933252473,0.01112086088594082,0.1,5.3,50.1,12.1,0.3436025836500899,0.09046786399959943,2,1
Xuân Lao,21.454935489768676,103.36053603979167,24.361860120507234,997532.0,9.269830225761686,0.02803748687022663,0.2,2.8,29.4,4.1,0.35094732009639373,0.22025006504748382,2,2
Hừa Ngài,21.857411380260157,103.19629174966765,23.726642662926132,89259.0,9.392244453930422,0.012259289787640298,0.3,6.3,68.8,17.6,0.4759641075755773,0.09247843873736375,3,1
Huổi Lèng,21.896540340417555,103.11143953539617,23.717902109547516,91981.0,9.278704154077221,0.01295750339570712,1.2,9.6,80.6,18.2,0.5290569224643172,0.12089681833784952,3,1
Huổi Mí,21.77472484753459,103.21135609513311,25.46960900914445,567888.0,9.30585021502547,0.013670179194278882,0.1,6.8,67.4,17.5,0.4963952813112196,0.18530681880906774,3,1
Ma Thì Hồ,21.804273952028247,103.02401767800902,22.53712122770207,285486.0,9.301521629208475,0.0167761728009171,1.4,14.8,92.8,19.6,0.5759860387409239,0.22289517291246283,3,2
Mường Chà,21.7591149341489,103.08510250134366,23.014421745804725,95903.0,9.31116696202976,0.012345830724450795,0.9,10.1,73.3,14.5,0.4863789936685773,0.1307123194632122,3,1
Mường Mươn,21.642982878918826,103.0603823354244,25.81351866871237,324503.0,9.167754327558976,0.031099601948781704,1.3,8.6,81.6,10.4,0.6054987884204778,0.14467051576496634,4,1
Mường Tùng,21.976681132786073,103.06299663518446,25.60636435538043,414718.0,9.168043359401135,0.031945262859337735,1.7,17.9,75.9,16.3,0.5799403902790266,0.27221751652782517,3,2
Na Sang,21.710533149621767,103.0824100327771,24.007842439430966,324687.0,9.265451818481221,0.019588053011071513,0.7,11.3,72.6,6.0,0.5141750792436472,0.18597682063616067,3,1
Nậm Nèn,21.839373471145613,103.27973533122217,22.904935100941348,1287314.0,9.547495112286263,0.012359581151270005,0.9,7.2,63.5,28.2,0.442187769348142,0.3566810343441006,3,2
Pa Ham,21.91290559408336,103.24561074669302,22.99966403421144,1323665.0,9.525345109353388,0.013639028419023333,0.8,10.9,88.9,27.8,0.5574310387109006,0.40536026092438804,3,3
Sa Lông,21.819955053747503,103.11702809834233,23.142137796535128,78104.0,9.343186034792724,0.012442259539665063,0.3,8.1,77.8,19.9,0.507947983818457,0.10670939030249993,3,1
